chinese_word,english_translation,chinese_sentence,english_sentence
阿姨,aunt,阿姨在厨房做饭。,Auntie is cooking in the kitchen.
啊,ah/oh (exclamation),今天天气真好啊！,"Ah, the weather is so nice today!"
矮,short (height),我比我哥哥矮一点。,I am a bit shorter than my brother.
安静,quiet,图书馆里要保持安静。,Please keep quiet in the library.
安排,arrange,老师安排我们分组学习。,The teacher arranged us into study groups.
安全,safe,开车时要注意安全。,Pay attention to safety while driving.
暗,dark,房间里太暗了，开灯吧。,"It's too dark in the room, let's turn on the light."
按照,according to,请按照说明书操作。,Please operate according to the instructions.
八,eight,我家在八楼。,My home is on the eighth floor.
把,to hold,请把门关上。,Please close the door.
爸爸,father,我爸爸在公司工作。,My father works at a company.
吧,okay/right?,我们去吃饭吧。,"Let's go eat, okay?"
白,white,她穿了一件白衬衫。,She wore a white shirt.
百,hundred,这本书有一百页。,This book has one hundred pages.
班,class,我们班有三十个学生。,Our class has thirty students.
搬,to move,我们下个月要搬家。,We are moving house next month.
半,half,现在是八点半。,It's eight thirty now.
帮忙,to help,你能帮忙打开窗户吗？,Can you help open the window?
帮助,to assist,老师总是帮助学生解决问题。,Teachers always help students solve problems.
包,to wrap,请把这个礼物包起来。,Please wrap this gift.
包括,to include,票价包括午餐。,The ticket price includes lunch.
抱,to hug,妈妈抱着小孩。,The mother is hugging the child.
抱歉,sorry,抱歉，我迟到了。,"Sorry, I'm late."
杯子,cup,这个杯子是我的。,This cup is mine.
北方,north,他来自中国北方。,He comes from northern China.
北京,Beijing,我想去北京旅游。,I want to travel to Beijing.
倍,times,这个比那个贵两倍。,This is twice as expensive as that.
被,by (passive),苹果被他吃了。,The apple was eaten by him.
本,volume/book,我买了一本书。,I bought a book.
本来,originally,我本来想去公园的。,I originally wanted to go to the park.
笨,"stupid, clumsy",他做事很笨，但是很认真。,"He's clumsy at doing things, but he's very diligent."
鼻子,nose,他的鼻子很高。,He has a high nose bridge.
比,compared to,她比我高一点。,She's a bit taller than me.
遍,"time, all over",我把房间打扫了一遍。,I cleaned the room once through.
表格,"form, table",请填写这张表格。,Please fill out this form.
表示,"to express, to show",他表示同意我的想法。,He expressed agreement with my idea.
表演,"to perform, performance",孩子们要在学校表演节目。,The children will perform a show at school.
别,don't,别着急，慢慢来。,"Don't hurry, take it slow."
别人,other people,别人都说这家餐厅很好。,Other people all say this restaurant is good.
冰箱,refrigerator,请把牛奶放在冰箱里。,Please put the milk in the refrigerator.
并且,"and, moreover",他很聪明，并且很努力。,"He is smart, and moreover, hardworking."
博士,"Ph.D., doctor",她是物理学博士。,She has a Ph.D. in Physics.
不但,not only,他不但会说中文，还会说英文。,He not only speaks Chinese but also English.
不客气,you're welcome,谢谢你。不客气。,Thank you. You're welcome.
不,"no, not",我不喜欢吃辣的食物。,I don't like spicy food.
不得不,have to; must,因为下雨，我们不得不取消野餐。,"Because of the rain, we had to cancel the picnic."
不管,no matter; regardless of,不管天气怎么样，他每天都去跑步。,"No matter what the weather is like, he goes running every day."
部分,part; portion,这只是问题的一部分。,This is only part of the problem.
擦,to wipe; to clean,请帮我擦一下桌子。,Please help me wipe the table.
猜,to guess,你猜我今天买了什么？,Can you guess what I bought today?
才,only; just,他今年才十岁。,He is only ten years old.
材料,material; ingredients,我已经买好做蛋糕的材料了。,I've already bought the ingredients for making the cake.
菜,dish; vegetable,这道菜很好吃。,This dish is very delicious.
参加,to participate; to join,你要参加今天的会议吗？,Are you going to participate in today's meeting?
草,grass; draft,春天的草变绿了。,The grass has turned green in spring.
茶,tea,我每天早上都喝一杯茶。,I drink a cup of tea every morning.
差,poor; inferior,他的成绩很差。,His grades are poor.
差不多,almost; nearly,我们差不多到了。,We're almost there.
唱歌,to sing,她很喜欢唱歌。,She really likes to sing.
超市,supermarket,我要去超市买些水果。,I'm going to the supermarket to buy some fruit.
吵,to quarrel; noisy,他们为小事吵架了,They quarreled over something trivial
成功,success; to succeed,经过努力，他终于成功了,"After his efforts, he finally succeeded"
成熟,mature; ripe,这个水果已经成熟了,This fruit is now ripe
