chinese_word,french_translation,chinese_sentence,french_sentence
八,huit,我有八本书。,J'ai huit livres.
爸爸,papa,我爸爸在花园里。,Mon papa est dans le jardin.
杯子,verre/tasse,这个杯子是我的。,Cette tasse est à moi.
北京,Pékin,我想去北京旅游。,Je veux voyager à Pékin.
本,ce/cette,这本书很有意思。,Ce livre est très intéressant.
不客气,de rien,谢谢！-不客气。,Merci ! - De rien.
不,ne...pas,我不喜欢下雨。,Je n'aime pas la pluie.
菜,plat/légume,这个菜很好吃。,Ce plat est très bon.
茶,thé,我每天喝茶。,Je bois du thé tous les jours.
吃,manger,我们一起吃午饭吧。,Mangeons ensemble le déjeuner.
大,grand,这是一个大房子。,C'est une grande maison.
的,de,这是我的猫。,C'est mon chat.
点,point/heure,现在三点了。,Il est trois heures.
都,tout/tous,他们都来了。,Ils sont tous venus.
多,beaucoup,这里有多少人？,Combien de personnes y a-t-il ici ?
多少,combien,这本书多少钱？,Combien coûte ce livre?
儿子,fils,我的儿子今年六岁。,Mon fils a six ans cette année.
二,deux,我有两个兄弟。,J'ai deux frères.
高兴,content/heureux,我很高兴认识你。,Je suis très heureux de te rencontrer.
个,classificateur,桌子上有一个苹果。,Il y a une pomme sur la table.
工作,travail,我喜欢我的工作。,J'aime mon travail.
狗,chien,他有一只可爱的狗。,Il a un chien mignon.
好,bon/bien,这个菜很好吃。,Ce plat est très bon.
喝,boire,我想喝水。,Je veux boire de l'eau.
和,et,我和我的朋友去商店。,Mon ami et moi allons au magasin.
很,très,今天天气很好。,Il fait très beau aujourd'hui.
后面,derrière,我的房子在商店后面。,Ma maison est derrière le magasin.
回,retourner,我要回家了。,Je vais rentrer à la maison.
会,pouvoir/savoir,我会说中文。,Je sais parler chinois.
几,combien/quelques,你有几本书？,Combien de livres as-tu?
家,maison/famille,这是我的家。,C'est ma maison.
叫,appeler/s'appeler,我叫Marie。,Je m'appelle Marie.
今天,aujourd'hui,今天天气很好。,Il fait beau aujourd'hui.
九,neuf,我有九本书。,J'ai neuf livres.
开,ouvrir,请开门。,Ouvre la porte s'il te plaît.
看,regarder,我在看电视。,Je regarde la télévision.
来,venir,他明天来学校。,Il vient à l'école demain.
了,particule/terminé,我吃了饭。,J'ai fini de manger.
冷,froid,今天很冷。,Il fait froid aujourd'hui.
里,dans/intérieur,书在房间里。,Le livre est dans la chambre.
零,zéro,现在零度。,Il fait zéro degré.
六,six,我六点起床。,Je me lève à six heures.
猫,chat,我有一只猫。,J'ai un chat.
没,ne pas avoir,我没有时间。,Je n'ai pas le temps.
没关系,ce n'est pas grave,没关系，不用担心。,"Ce n'est pas grave, ne t'inquiète pas."
明天,demain,明天我要去上学,Demain je vais à l'école
名字,nom,你的名字是什么？,Comment t'appelles-tu ?
哪,quel,你想去哪个餐厅？,À quel restaurant veux-tu aller ?
哪儿,où,你的书在哪儿？,Où est ton livre ?
